Brand,City,Country,Sum of Latitude,Sum of Longitude,Postcode,State/Province,Store Name,Store Number
Starbucks,Albany,US,42.74,-73.81,122111000,NY,ALB Concourse B Times Square,3503-140887
Starbucks,Albany,US,31.59,-84.16,31702,GA,Phoebe Putney Memorial Hospital,75219-86321
Starbucks,Albany,US,31.62,-84.22,31707,GA,Dawson Road and Westover,25396-238725
Starbucks,Albany,US,31.61,-84.22,317070222,GA,Aramark @ Meredyth Place Med,75188-82021
Starbucks,Albany,US,37.88,-122.31,947101011,CA,Target Albany T-1926,76267-89722
Starbucks,Albany,US,44.63,-123.09,97321,OR,940 Pacific Blvd - Albany,25108-237985
Starbucks,Albany,US,44.65,-123.11,973211760,OR,N Albany & Hickory- Albany,13326-105968
Starbucks,Albany,US,44.63,-123.08,97322,OR,Target Albany T 609,27541-244910
Starbucks,Albany,US,44.63,-123.08,973225211,OR,Fred Meyer Santiam - Albany,3410-87040
Starbucks,Albany,US,44.63,-123.08,973228504,OR,Safeway-Albany #1659,74304-77300
Starbucks,Alborg,DK,57.05,9.92,9000,81,Salling Alborg,20021-199445
Starbucks,Albuquerque,US,35.09,-106.64,871022322,NM,"Lomas & Broadway, Albuquerque",10119-99305
Starbucks,Albuquerque,US,35.09,-106.65,871023267,NM,Hyatt Regency Alburquerque,75502-38919
Starbucks,Albuquerque,US,35.1,-106.67,87104,NM,ABQ - Rio Grande and I-40,5791-239810
Starbucks,Albuquerque,US,35.11,-106.66,87104,NM,Indian Pueblo Cultural Center,26155-238026
Starbucks,Albuquerque,US,35.08,-106.61,871061432,NM,3400 Central Avenue,5466-1533
Starbucks,Albuquerque,US,35.13,-106.61,871074947,NM,I-25 & Montano,6417-39800
Starbucks,Albuquerque,US,35.06,-106.58,871084726,NM,"Gibson & Palomas, Albuquerque",8652-93725
Starbucks,Albuquerque,US,35.17,-106.59,87109,NM,Market Place at Journal Center,5467-1525
Starbucks,Albuquerque,US,35.15,-106.56,87109,NM,Wyoming & Academy,17996-178545
Starbucks,Albuquerque,US,35.17,-106.58,871092529,NM,Target Albuquerque T-2031,76457-97169
Starbucks,Albuquerque,US,35.15,-106.59,871093562,NM,"San Mateo & I-25, Albuquerque",9764-97643
Starbucks,Albuquerque,US,35.09,-106.6,87110,NM,ABQ - Lomas and Washington,24472-238085
Starbucks,Albuquerque,US,35.13,-106.59,87110,NM,ABQ - San Mateo and Montgomery,5590-238083
Starbucks,Albuquerque,US,35.11,-106.59,87110,NM,San Mateo & Prospect,5362-165285
Starbucks,Albuquerque,US,35.1,-106.57,87110,NM,Target Albuquerque T-2813,17094-177244
Starbucks,Albuquerque,US,35.1,-106.57,871103583,NM,Louisiana & Indian School,11190-101877
Starbucks,Albuquerque,US,35.1,-106.59,871105149,NM,San Mateo and Haines,14267-109285
Starbucks,Albuquerque,US,35.13,-106.51,87111,NM,ABQ - Juan Tabo and Montgomery,5588-238086
Starbucks,Albuquerque,US,35.13,-106.55,871112308,NM,Target Albuquerque T-356,76521-99292
Starbucks,Albuquerque,US,35.13,-106.5,871112979,NM,Smiths-Albuquerque #439,79428-81600
Starbucks,Albuquerque,US,35.15,-106.5,871118051,NM,Academy and Tramway-Albuquerque,13923-108288
Starbucks,Albuquerque,US,35.11,-106.53,871121395,NM,"Eubank & Candelaria, Albuquerque",8990-94865
Starbucks,Albuquerque,US,35.1,-106.52,871124435,NM,Juan Tabo,5866-27350
Starbucks,Albuquerque,US,35.09,-106.53,871125582,NM,Target - Albuquerque T-0357,76737-105127
Starbucks,Albuquerque,US,35.17,-106.58,871131755,NM,I-25 & Paseo del Norte Blvd NE,8794-94063
Starbucks,Albuquerque,US,35.18,-106.56,871131947,NM,Wyoming & Paseo del Norte,5805-10752
Starbucks,Albuquerque,US,35.21,-106.65,87114,NM,528 Lowe's Access Rd,13413-105007
Starbucks,Albuquerque,US,35.2,-106.66,87114,NM,ABQ - Coors Bypass and 7 Bar Loop,5701-225324
Starbucks,Albuquerque,US,35.21,-106.68,87114,NM,Smiths-Albuquerque #463,22707-97168
Starbucks,Albuquerque,US,35.18,-106.66,87114,NM,Target Albuquerque T-625,20786-207784
Starbucks,Albuquerque,US,35.16,-106.68,87120,NM,Coors Road & Montano,6497-35799
Starbucks,Albuquerque,US,35.11,-106.7,871203036,NM,Quail & Coors,6679-73304
Starbucks,Albuquerque,US,35.18,-106.69,871205842,NM,Paseo & Golf Course Rd.,5845-24927
Starbucks,Albuquerque,US,35.08,-106.51,87123,NM,Juan Tabo and I-40,23648-231585
Starbucks,Albuquerque,US,35.07,-106.53,871233370,NM,Eubank and Central-Albuquerque,13414-106709
Starbucks,Albuquerque,US,35.09,-106.62,87131,NM,U of NM - Zimmerman Library,75279-97118
Starbucks,Alcoa,US,35.81,-83.98,377013125,TN,Cusick & Alcoa,11293-104144
Starbucks,Alcoa,US,35.81,-83.99,377013316,TN,TYS Foodcourt (Knoxville),3509-142865
Starbucks,Aldaia,ES,39.46,-0.48,46960,AN,Bonaire,15307-148964
Starbucks,Al-Dammam,SA,26.25,49.98,31451,4,Othaim Mall Dammam,17391-179125
Starbucks,Aldergrove,CA,49.06,-122.46,V4W 3N5,BC,Safeway - Aldergrove #165,79692-120228
Starbucks,Aldie,US,38.94,-77.55,201053033,VA,Harris Teeter-Chantilly/Dulles S #2,79247-97620
Starbucks,Alexandria,US,38.83,-77.09,22302,VA,Safeway 3250 @ Alexandria,23470-204208
Starbucks,Alexandria,US,38.83,-77.09,223021921,VA,Bradlee Center,7305-852
Starbucks,Alexandria,US,38.8,-77.13,22304,VA,S. Van Dorn and Pickett,24482-238091
Starbucks,Alexandria,US,38.82,-77.06,22305,VA,Giant - Alexandria #2742,24406-236909
Starbucks,Alexandria,US,38.84,-77.05,223053138,VA,Potomac Yards,7412-959
Starbucks,Alexandria,US,38.75,-77.08,22306,VA,7511 Richmond Highway,23464-229704
Starbucks,Alexandria,US,38.76,-77.08,22306,VA,Safeway-Alexandria #1950,74370-82341
Starbucks,Alexandria,US,38.75,-77.08,223062843,VA,Mt. Vernon Plaza,10091-99034
Starbucks,Alexandria,US,38.77,-77.08,223066701,VA,Beacon Mall,7334-1168
